,Price
685,6000000.0
686,12500000.0
687,2000000.0
688,11500000.0
689,6520000.0
690,350000.0
691,2950000.0
692,4200000.0
693,3800000.0
694,4620000.0
695,5200000.0
696,12000000.0
697,12800000.0
698,1500000.0
699,3000000.0
700,11200000.000000002
701,7541062.9170638705
702,6180000.0
703,6000000.0
704,8000000.0
705,9000000.0
706,8500000.0
707,11200000.000000002
708,14000000.0
709,7541062.9170638705
710,4200000.0
711,6950000.0
712,6450000.0
713,5200000.0
714,7800000.0
715,6500000.0
716,4500000.0
717,5000000.0
718,14900000.0
719,6500000.0
720,12900000.0
721,7209999.999999999
722,2500000.0
723,10600000.0
724,1500000.0
725,6520000.0
726,11500000.0
727,12000000.0
728,11500000.0
729,7859999.999999999
730,8500000.0
731,8000000.0
732,6500000.0
733,4000000.0
734,2500000.0
735,2300000.0
736,6080000.0
737,7000000.0
738,10600000.0
739,4200000.0
740,12500000.0
741,11200000.000000002
742,5500000.0
743,7541062.9170638705
744,4000000.0
745,5200000.0
746,11500000.0
747,4100000.0
748,8500000.0
749,10000000.0
750,4500000.0
751,7209999.999999999
752,3000000.0
753,7400000.0
754,7290000.000000001
755,7541062.9170638705
756,9300000.0
757,3500000.0
758,5800000.0
759,7541062.9170638705
760,8000000.0
761,4900000.0
762,7541062.9170638705
763,6000000.0
764,6000000.0
765,12000000.0
766,10400000.0
767,5700000.0
768,8030000.0
769,3600000.0
770,2300000.0
771,2500000.0
772,9070000.0
773,6200000.0
774,10000000.0
775,7541062.9170638705
776,12000000.0
777,6520000.0
778,9000000.0
779,4730000.0
780,13000000.0
781,5500000.0
782,5500000.0
783,5200000.0
784,6080000.0
785,5940000.0
786,4300000.0
787,11500000.0
788,2600000.0
789,5690000.0
790,14000000.0
791,10000000.0
792,5950000.0
793,8500000.0
794,13100000.0
795,6000000.0
796,5900000.0
797,13100000.0
798,12000000.0
799,9000000.0
800,8570000.0
801,9070000.0
802,11200000.000000002
803,8910000.0
804,13500000.0
805,3800000.0
806,7541062.9170638705
807,11500000.0
808,3200000.0
809,2800000.0
810,8570000.0
811,4000000.0
812,4300000.0
813,2000000.0
814,8030000.0
815,2300000.0
816,11500000.0
817,7200000.0
818,14500000.0
819,10400000.0
820,6000000.0
821,12000000.0
822,9000000.0
823,4600000.0
824,6950000.0
825,10600000.0
826,10600000.0
827,3000000.0
828,10600000.0
829,14000000.0
830,10500000.0
831,6500000.0
832,7000000.0
833,13100000.0
834,5500000.0
835,3500000.0
836,8220000.0
837,6200000.0
838,12500000.0
839,1930000.0
840,5000000.0
841,6500000.0
842,12500000.0
843,6520000.0
844,11500000.0
845,6800000.0
846,4800000.0
847,4200000.0
848,3500000.0
849,9070000.0
850,6520000.0
851,11000000.0
852,7290000.000000001
853,7780000.0
854,6450000.0
855,5800000.0
856,6000000.0
857,7600000.0
858,7541062.9170638705
859,5540000.0
860,8500000.0
861,4700000.0
862,12600000.0
863,10500000.0
864,4300000.0
865,3800000.0
866,14900000.0
867,14900000.0
868,7209999.999999999
869,9000000.0
870,8000000.0
871,6080000.0
872,8030000.0
873,5500000.0
874,7000000.0
875,8570000.0
876,4620000.0
877,6000000.0
878,5800000.0
879,4800000.0
880,8100000.0
881,6450000.0
882,5500000.0
883,7200000.0
884,6900000.0
885,3000000.0
886,3200000.0
887,7500000.0
888,7000000.0
889,12000000.0
890,6450000.0
891,4620000.0
892,5000000.0
893,11500000.0
894,13000000.0
895,7300000.0
896,3200000.0
897,4800000.0
898,2600000.0
899,13000000.0
900,10600000.0
901,2240000.0
902,3700000.0
903,11500000.0
904,6300000.0
905,6500000.0
906,10400000.0
907,9500000.0
908,8030000.0
909,6650000.0
910,11200000.000000002
911,3200000.0
912,4770000.0
913,14900000.0
914,6500000.0
915,7780000.0
916,12800000.0
917,9000000.0
918,5500000.0
919,11500000.0
920,5370000.0
921,3050000.0
922,9000000.0
923,10600000.0
924,10900000.0
925,7290000.000000001
926,4400000.0
927,4300000.0
928,7541062.9170638705
929,9500000.0
930,8500000.0
931,10400000.0
932,7859999.999999999
933,5500000.0
934,5000000.0
935,7000000.0
936,7800000.0
937,8500000.0
938,5700000.0
939,4620000.0
940,14900000.0
941,13000000.0
942,12500000.0
943,9070000.0
944,4620000.0
945,6400000.0
946,5500000.0
947,8030000.0
948,7780000.0
949,9500000.0
950,9500000.0
951,1800000.0
952,14000000.0
953,2500000.0
954,8500000.0
955,7500000.0
956,13000000.0
957,6060000.0
958,1600000.0
959,5860000.0
960,4620000.0
961,7200000.0
962,5000000.0
963,9500000.0
964,4000000.0
965,7920000.0
966,7500000.0
967,8500000.0
968,4200000.0
969,12000000.0
970,7209999.999999999
971,13000000.0
972,10400000.0
973,4620000.0
974,5500000.0
975,4950000.0
976,4620000.0
977,6600000.0
978,4800000.0
979,11200000.000000002
980,6950000.0
981,2700000.0
982,4500000.0
983,14500000.0
984,11200000.000000002
985,11200000.000000002
986,3400000.0
987,11000000.0
988,7290000.000000001
989,12800000.0
990,12800000.0
991,4500000.0
992,7900000.0
993,3000000.0
994,11200000.000000002
995,7859999.999999999
996,4500000.0
997,8220000.0
